i	O
want	O
to	O
fly	O
from	O
boston	B-fromloc.city_name
at	O
DIGITDIGITDIGIT	B-depart_time.time
am	I-depart_time.time
and	O
arrive	O
in	O
denver	B-toloc.city_name
at	O
DIGITDIGITDIGITDIGIT	B-arrive_time.time
in	O
the	O
morning	B-arrive_time.period_of_day

what	O
flights	O
are	O
available	O
from	O
pittsburgh	B-fromloc.city_name
to	O
baltimore	B-toloc.city_name
on	O
thursday	B-depart_date.day_name
morning	B-depart_time.period_of_day

what	O
is	O
the	O
arrival	B-flight_time
time	I-flight_time
in	O
san	B-fromloc.city_name
francisco	I-fromloc.city_name
for	O
the	O
DIGITDIGITDIGIT	B-depart_time.time
am	I-depart_time.time
flight	O
leaving	O
washington	B-fromloc.city_name

cheapest	B-cost_relative
airfare	O
from	O
tacoma	B-fromloc.city_name
to	O
orlando	B-toloc.city_name

round	B-round_trip
trip	I-round_trip
fares	O
from	O
pittsburgh	B-fromloc.city_name
to	O
philadelphia	B-toloc.city_name
under	B-cost_relative
DIGITDIGITDIGITDIGIT	B-fare_amount
dollars	I-fare_amount

i	O
need	O
a	O
flight	O
tomorrow	B-depart_date.today_relative
from	O
columbus	B-fromloc.city_name
to	O
minneapolis	B-toloc.city_name

what	O
kind	O
of	O
aircraft	O
is	O
used	O
on	O
a	O
flight	O
from	O
cleveland	B-fromloc.city_name
to	O
dallas	B-toloc.city_name

show	O
me	O
the	O
flights	O
from	O
pittsburgh	B-fromloc.city_name
to	O
los	B-toloc.city_name
angeles	I-toloc.city_name
on	O
thursday	B-depart_date.day_name

all	O
flights	O
from	O
boston	B-fromloc.city_name
to	O
washington	B-toloc.city_name

what	O
kind	O
of	O
ground	O
transportation	O
is	O
available	O
in	O
denver	B-city_name